,Name,Rating,Review,Salaries,Jobs
0,TCS,3.4,1.1L,9.4L,11.5k
1,Accenture,3.7,67.8k,6.3L,8.9k
2,Wipro,3.7,60.8k,4.6L,6.4k
3,Cognizant,3.7,57.7k,5.8L,6.1k
4,Capgemini,3.7,49.4k,4.6L,5.3k
5,HDFC Bank,3.8,47.8k,1.4L,2.7k
6,Infosys,3.5,45.4k,5.1L,8.1k
7,ICICI Bank,4.0,43.5k,1.5L,2.8k
8,HCLTech,3.4,42.5k,3.6L,4.3k
9,Tech Mahindra,3.4,40.7k,2.8L,4.3k
10,Genpact,3.6,38.9k,2.2L,3.6k
11,Teleperformance,3.8,34.9k,93.5k,2.1k
12,Axis Bank,3.7,30.8k,1L,1.8k
13,Concentrix Corporation,3.6,30.3k,1.3L,1.9k
14,Jio,4.3,29.5k,62.3k,3.2k
15,Amazon,4.0,29.3k,1.4L,5.6k
16,iEnergizer,4.6,26.8k,23.6k,919
17,Reliance Retail,3.9,25.9k,71.6k,1.8k
18,IBM,3.9,24.6k,2.1L,2.5k
19,LTIMindtree,3.6,24.1k,1.9L,3.2k
20,HDB Financial Services,3.9,24k,49.9k,1k
21,Larsen & Toubro Limited,3.9,22.1k,72.6k,1.7k
22,Deloitte,3.7,21.3k,2.3L,3.1k
23,Kotak Mahindra Bank,3.6,20.8k,85.4k,1.3k
24,Reliance Industries,4.0,18.9k,71.2k,1.5k
25,Vodafone Idea,4.0,16.9k,50.6k,637
26,BYJU'S,3.1,16.6k,54.1k,2.1k
27,Bharti Airtel,3.9,16.1k,48.3k,1k
28,WNS,3.3,14.1k,67.6k,1.2k
29,AU Small Finance Bank,4.1,13.4k,27.8k,632
30,Tata Motors,4.1,13.4k,42k,1.2k
31,IndusInd Bank,3.4,13.2k,50.8k,725
32,Ernst & Young,3.4,13.1k,1.3L,1.3k
33,IDFC FIRST Bank,3.9,13k,47.4k,852
34,Flipkart,3.9,12.1k,52.1k,1.6k
35,Bajaj Finserv,4.0,11.7k,29k,658
36,DXC Technology,3.6,11.4k,72.5k,868
37,PwC,3.3,11.4k,1.1L,1.5k
38,Infosys BPM,3.5,11.3k,70.4k,1.1k
39,Mahindra & Mahindra,4.1,11.3k,38.5k,800
40,HDFC Life,3.9,11.1k,31.9k,740
41,Bandhan Bank,3.7,9.9k,24.9k,687
42,Conneqt Business Solutions,3.5,9.8k,26.4k,539
43,Muthoot Fincorp,4.5,10.1k,8.8k,1.3k
44,Mphasis,3.3,9.7k,71.7k,883
45,Yes Bank,3.7,9.4k,42.9k,513
46,Tata Steel,4.0,9.2k,32.7k,1k
47,Quess,3.8,8.9k,30k,504
48,Startek,3.1,8.9k,24.2k,578
49,Asian Paints,3.9,8.7k,24.8k,772
50,Paytm,3.2,8.7k,33.1k,851
51,UltraTech Cement,4.1,8.6k,23.4k,730
52,Shriram Finance,4.0,8.5k,15.1k,411
53,Maruti Suzuki,4.2,8.4k,26.3k,720
54,Bajaj Finance,3.9,8.3k,22.1k,391
55,Sutherland Global Services,3.4,8.3k,32.7k,750
56,EXL Service,3.6,8.1k,42.8k,851
57,Samsung,3.9,8.1k,25.8k,595
58,Ericsson,4.0,8.1k,42.2k,455
59,Cipla,4.1,8k,25.6k,557
60,Wells Fargo,3.7,7.8k,54k,653
61,Dr. Reddy's,4.0,7.7k,25.5k,471
62,HGS,3.7,7.4k,21.1k,263
63,Optum Global Solutions,4.0,7.4k,46.5k,727
64,ICICI Prudential Life Insurance,4.0,7.3k,22.9k,456
65,Amazon Development Centre India,3.9,7.2k,36.4k,849
66,Delhivery,3.8,7.2k,20.2k,567
67,JPMorgan Chase & Co.,3.9,7.2k,80.6k,828
68,Jana Small Finance Bank,3.8,7.2k,14.5k,291
69,Sun Pharmaceutical Industries,4.1,7.1k,22.8k,625
70,JSW Steel,3.9,7.1k,29.7k,739
71,Hexaware Technologies,3.5,7.1k,51.5k,798
72,L&T Construction,4.0,7k,18.8k,899
73,Lupin,4.1,6.9k,22.2k,419
74,Zydus Lifesciences,4.0,6.9k,19.5k,396
75,Hindustan Unilever,4.2,6.9k,19.9k,436
76,Equitas Small Finance Bank,4.3,6.8k,12.7k,495
77,KPMG India,3.4,6.7k,61.7k,892
78,ITC,3.9,6.7k,23.7k,650
79,Ekart Logistics,3.9,6.7k,15.3k,386
80,Axis Max Life Insurance,4.0,6.6k,19.6k,376
81,Ujjivan Small Finance Bank,4.0,6.6k,12.2k,293
82,Megha Engineering & Infrastructures,3.9,6.3k,17.8k,534
83,Tata Projects,4.2,6.3k,21.6k,550
84,FIS,3.9,6.2k,38.3k,520
85,L&T Technology Services,3.1,6.1k,41k,599
86,Coforge,3.2,6k,45.9k,634
87,IIFL Finance,4.0,6k,13.9k,308
88,Bajaj Life Insurance,3.9,6k,16.7k,419
89,Oracle,3.5,6k,60.3k,923
90,Indian Army,4.7,6k,9.5k,193
91,HCL Group,3.5,6k,41.1k,505
92,JLL,4.1,5.9k,23.3k,450
93,Omega Healthcare,3.7,5.9k,25.4k,510
94,Muthoot Finance,3.6,5.9k,12.6k,319
95,Cholamandalam Investment & Finance,3.8,5.8k,11.9k,249
96,eClerx,3.1,5.8k,30.4k,606
97,Virtusa Consulting Services,3.7,5.7k,55.5k,633
98,Udaan,4.0,5.7k,16.5k,364
99,HSBC Group,3.9,5.6k,41.2k,531
100,Indiamart Intermesh,3.6,5.6k,20k,725
101,DMart,3.9,5.6k,18k,507
102,Aurobindo Pharma,4.0,5.5k,20.7k,283
103,Siemens,4.0,5.4k,32.6k,484
104,Shapoorji Pallonji Group,4.1,5.4k,15.1k,396
105,SMFG India Credit,3.9,5.4k,11k,193
106,Standard Chartered,3.6,5.4k,41.3k,311
107,BigBasket,3.9,5.4k,18.4k,440
108,CGI Group,4.0,5.4k,45.6k,548
109,ICICI Lombard General Insurance Company,3.6,5.4k,19.4k,340
110,GlobalLogic,3.5,5.4k,38.9k,666
111,Access Healthcare,3.7,5.4k,26.5k,364
112,Firstsource Solutions,3.5,5.4k,23.4k,343
113,Manappuram Finance,3.9,5.3k,9k,205
114,Apollo Hospitals,4.0,5.3k,16.2k,449
115,Mahindra Finance,3.9,5.3k,11.8k,193
116,Bosch Global Software Technologies,3.8,5.3k,38.7k,375
117,UST,3.7,5.2k,38.3k,565
118,Ashok Leyland,4.0,5.2k,18.3k,297
119,Citicorp,3.7,5.2k,49.9k,606
120,Cyient,3.6,5.1k,27k,316
121,PolicyBazaar,3.7,5.1k,16.5k,566
122,Hero MotoCorp,4.1,5.1k,15.5k,389
123,Swiggy,3.7,5k,21.9k,522
124,JustDial,3.5,4.9k,15.4k,373
125,SBI Cards & Payment Services,3.6,4.9k,15.6k,282
126,Kalpataru Projects International,4.1,4.9k,13.3k,303
127,BNY,3.7,4.9k,30.1k,379
128,IQVIA,3.7,4.8k,29.8k,520
129,CBRE,4.1,4.8k,18.1k,323
130,TVS Motor,3.9,4.8k,15.5k,367
131,SBI Life Insurance Company,3.7,4.8k,11.5k,285
132,vivo,4.1,4.7k,12.8k,220
133,NTT Data,3.8,4.7k,34k,695
134,Persistent Systems,3.6,4.7k,42.4k,686
135,Eviden,3.6,4.7k,28.6k,312
136,Atos,3.8,4.7k,33.5k,401
137,Nagarjuna Construction Company,4.1,4.7k,11.6k,394
138,State Bank of India,3.8,4.7k,11.2k,294
139,Schneider Electric,4.1,4.6k,23.4k,419
140,Ecom Express,4.0,4.6k,9.4k,251
141,Nagarro,3.9,4.6k,31.2k,821
142,Amdocs,3.7,4.6k,36.7k,551
143,Home Credit Finance,4.0,4.5k,9.6k,138
144,JBM Group,3.9,4.5k,13.6k,326
145,KEC International,4.0,4.5k,12.8k,385
146,Piramal Capital Housing Finance,4.2,4.4k,9.9k,223
147,Varun Beverages,4.0,4.4k,11.7k,311
148,Bosch,4.2,4.4k,20.2k,368
149,Hewlett Packard Enterprise,4.1,4.4k,26.4k,256
150,EY Global Delivery Services ( EY GDS),3.5,4.3k,45.3k,857
151,OPPO,3.9,4.3k,12k,244
152,Mahindra Logistics,3.7,4.3k,12.9k,240
153,Dell,3.8,4.3k,28.4k,418
154,ITC Infotech,3.7,4.3k,28.7k,401
155,Aditya Birla Fashion and Retail,4.1,4.3k,12.5k,255
156,L&T Finance,3.9,4.2k,11.5k,203
157,Randstad,3.7,4.2k,15.7k,303
158,CARS24,3.5,4.2k,15.2k,388
159,R1 RCM,3.8,4.2k,20.4k,343
160,Intas Pharmaceuticals,4.1,4.2k,16.8k,248
161,Hyundai Motor India Limited,4.2,4.2k,13.5k,309
162,Havells,3.9,4.2k,14.9k,264
